sol,easting,northing,elevation,latitude,longitude
349,8146707.193,-272444.771,-4500.2,-4.650659319,137.439877948
351,8146631.541,-272477.426,-4501.37,-4.651216686,137.438601653
354,8146585.668,-272475.066,-4500.49,-4.651176405,137.437827748
356,8146537.221,-272482.859,-4500.96,-4.651309419,137.437010417
358,8146532.092,-272516.248,-4500.57,-4.651879314,137.436923888
361,8146501.191,-272578.477,-4501.42,-4.65294146,137.43640257
363,8146422.887,-272603.006,-4502.06,-4.65336013,137.435081534
365,8146402.047,-272618.52,-4502.07,-4.653624928,137.43472995
369,8146343.363,-272657.154,-4503.41,-4.654284347,137.433739916
370,8146273.43,-272663.873,-4503.25,-4.654399029,137.432560104
371,8146185.145,-272677.996,-4503.29,-4.654640086,137.431070682
372,8146150.785,-272694.268,-4502.11,-4.654917822,137.430491008
374,8146159.811,-272728.188,-4501.72,-4.65549678,137.430643282
376,8146134.025,-272760.916,-4503.48,-4.656055393,137.430208257
377,8146098.398,-272795.656,-4502.43,-4.656648347,137.429607208
378,8146042.295,-272863.059,-4503.21,-4.657798805,137.428660716
379,8146028.51,-272868.615,-4502.53,-4.657893637,137.428428155
383,8145997.895,-272896.24,-4503.55,-4.65836515,137.427911662
385,8145959.984,-273019.545,-4500.9,-4.660469762,137.42727208
388,8145947.357,-273034.1,-4501.67,-4.660718192,137.427059055
390,8145901.104,-273082.885,-4505.85,-4.661550871,137.426278739
392,8145901.83,-273085.338,-4505.73,-4.66159274,137.426290987
396,8145900.867,-273091.391,-4505.09,-4.661696054,137.426274741
402,8145878.402,-273090.635,-4504.95,-4.661683151,137.425895742
403,8145840.209,-273140.377,-4504.85,-4.662532164,137.425251403
404,8145790.781,-273172.451,-4502.79,-4.663079614,137.424417523
406,8145760.729,-273229.17,-4503.47,-4.664047713,137.423910528
409,8145768.951,-273294.6,-4503.23,-4.665164495,137.424049238
410,8145750.4,-273320.705,-4502.15,-4.665610064,137.423736271
412,8145669.67,-273364.389,-4502.97,-4.666355677,137.422374307
413,8145669.561,-273436.867,-4500.42,-4.667592756,137.422372468
417,8145617.113,-273455.365,-4498.77,-4.667908486,137.421487639
419,8145574.549,-273565.408,-4497.9,-4.669786736,137.420769558
422,8145553.58,-273630,-4497.57,-4.670889214,137.420415799
424,8145538.486,-273713.801,-4497.94,-4.672319557,137.420161154
426,8145496.025,-273730.6,-4496.58,-4.672606288,137.419444811
429,8145462.789,-273757.518,-4496.48,-4.673065733,137.4188841
431,8145421.062,-273802.574,-4495.61,-4.673834764,137.41818014
433,8145360.152,-273848.295,-4492.57,-4.674615145,137.417152551
436,8145300.492,-273913.17,-4492.77,-4.675722453,137.416146051
437,8145292.652,-273940.023,-4492.03,-4.676180788,137.416013786
438,8145252.393,-273966.773,-4494.11,-4.676637366,137.415334592
439,8145236.027,-273984.902,-4494.31,-4.676946798,137.415058488
440,8145232.592,-273987.465,-4493.75,-4.676990544,137.415000537
453,8145213.33,-273997.832,-4492.16,-4.677167491,137.414675575
454,8145121.463,-273993.422,-4492.9,-4.67709222,137.413125724
455,8145076.059,-274034.547,-4492.96,-4.677794155,137.412359731
465,8145045.295,-274054.395,-4492.69,-4.678132927,137.411840723
470,8144999.057,-274101.062,-4491,-4.678929454,137.41106066
472,8144969.717,-274138.207,-4489.78,-4.679563457,137.410565677
474,8144964.467,-274138.395,-4490.13,-4.679566666,137.410477106
477,8144962.079,-274142.927,-4489.76,-4.67964402,137.410436819
488,8144962.497,-274142.397,-4489.76,-4.679634973,137.410443871
490,8144962.102,-274143.551,-4489.73,-4.67965467,137.410437207
